Date,Invoice ID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax,Payment,cogs,Rating
3/22/2019,227-03-5010,Toronto,Member,Female,Home and lifestyle,52.59,8,21.036,Credit card,420.72,8.5
02-08-2019,649-29-6775,Montreal,Normal,Female,Fashion accessories,33.52,1,1.676,Cash,33.52,6.7
03-10-2019,189-17-4241,Toronto,Normal,Female,Fashion accessories,87.67,2,8.767,Credit card,175.34,7.7
1/25/2019,145-94-9061,Montreal,Normal,Female,Food and beverages,88.36,5,22.09,Cash,441.8,9.6
3/15/2019,848-62-7243,Toronto,Normal,Male,Health and beauty,24.89,9,11.2005,Cash,224.01,7.4
2/25/2019,871-79-8483,Montreal,Normal,Male,Fashion accessories,94.13,5,23.5325,Credit card,470.65,4.8
1/28/2019,149-71-6266,Montreal,Member,Male,Food and beverages,78.07,9,35.1315,Cash,702.63,4.5
01-10-2019,640-49-2076,Montreal,Normal,Male,Sports and travel,83.78,8,33.512,Cash,670.24,5.1
3/15/2019,595-11-5460,Toronto,Normal,Female,Health and beauty,96.58,2,9.658,Credit card,193.16,5.1
02-06-2019,183-56-6882,Vancouver,Member,Female,Food and beverages,99.42,4,19.884,Ewallet,397.68,7.5
01-07-2019,232-16-2483,Vancouver,Member,Female,Sports and travel,68.12,1,3.406,Ewallet,68.12,6.8
03-10-2019,129-29-8530,Toronto,Member,Female,Home and lifestyle,62.62,5,15.655,Ewallet,313.1,7
1/15/2019,272-65-1806,Toronto,Normal,Female,Electronic accessories,60.88,9,27.396,Ewallet,547.92,4.7
3/23/2019,333-73-7901,Vancouver,Normal,Female,Health and beauty,54.92,8,21.968,Ewallet,439.36,7.6
03-03-2019,777-82-7220,Montreal,Member,Male,Home and lifestyle,30.12,8,12.048,Cash,240.96,7.7
1/17/2019,280-35-5823,Montreal,Member,Female,Home and lifestyle,86.72,1,4.336,Ewallet,86.72,7.9
02-02-2019,554-53-8700,Vancouver,Member,Male,Home and lifestyle,56.11,2,5.611,Cash,112.22,6.3
02-08-2019,354-25-5821,Montreal,Member,Female,Home and lifestyle,69.12,6,20.736,Cash,414.72,5.6
03-04-2019,228-96-1411,Vancouver,Member,Female,Food and beverages,98.7,8,39.48,Cash,789.6,7.6
3/16/2019,617-15-4209,Vancouver,Member,Male,Health and beauty,15.37,2,1.537,Cash,30.74,7.2
03-09-2019,132-32-9879,Montreal,Member,Female,Electronic accessories,93.96,4,18.792,Cash,375.84,9.5
2/27/2019,370-41-7321,Montreal,Member,Female,Health and beauty,56.69,9,25.5105,Credit card,510.21,8.4
02-06-2019,727-46-3608,Montreal,Member,Female,Food and beverages,20.01,9,9.0045,Ewallet,180.09,4.1
02-10-2019,669-54-1719,Montreal,Member,Female,Electronic accessories,18.93,6,5.679,Credit card,113.58,8.1
3/19/2019,574-22-5561,Vancouver,Member,Female,Electronic accessories,82.63,10,41.315,Ewallet,826.3,7.9
02-03-2019,326-78-5178,Vancouver,Member,Female,Food and beverages,91.4,7,31.99,Cash,639.8,9.5
02-10-2019,162-48-8011,Toronto,Member,Female,Food and beverages,44.59,5,11.1475,Cash,222.95,8.5
3/22/2019,616-24-2851,Montreal,Member,Female,Fashion accessories,17.87,4,3.574,Ewallet,71.48,6.5
1/25/2019,778-71-5554,Vancouver,Member,Male,Fashion accessories,15.43,1,0.7715,Credit card,15.43,6.1
03-07-2019,242-55-6721,Montreal,Normal,Male,Home and lifestyle,16.16,2,1.616,Ewallet,32.32,6.5
2/28/2019,399-46-5918,Vancouver,Normal,Female,Electronic accessories,85.98,8,34.392,Cash,687.84,8.2
3/27/2019,106-35-6779,Toronto,Member,Male,Home and lifestyle,44.34,2,4.434,Cash,88.68,5.8
02-07-2019,635-40-6220,Toronto,Normal,Female,Health and beauty,89.6,8,35.84,Ewallet,716.8,6.6
1/20/2019,817-48-8732,Toronto,Member,Female,Home and lifestyle,72.35,10,36.175,Cash,723.5,5.4
03-12-2019,120-06-4233,Vancouver,Normal,Female,Electronic accessories,30.61,6,9.183,Cash,183.66,9.3
2/15/2019,285-68-5083,Vancouver,Member,Female,Home and lifestyle,24.74,3,3.711,Credit card,74.22,10
2/24/2019,803-83-5989,Vancouver,Normal,Female,Home and lifestyle,55.73,6,16.719,Ewallet,334.38,7
02-03-2019,347-34-2234,Montreal,Member,Female,Home and lifestyle,55.07,9,24.7815,Ewallet,495.63,10
03-06-2019,199-75-8169,Toronto,Member,Female,Health and beauty,15.81,10,7.905,Credit card,158.1,8.6
2/14/2019,853-23-2453,Montreal,Member,Male,Health and beauty,75.74,4,15.148,Cash,302.96,7.6
3/13/2019,877-22-3308,Toronto,Member,Male,Health and beauty,15.87,10,7.935,Cash,158.7,5.8
02-10-2019,838-78-4295,Vancouver,Normal,Female,Health and beauty,33.47,2,3.347,Ewallet,66.94,6.7
01-07-2019,109-28-2512,Montreal,Member,Female,Fashion accessories,97.61,6,29.283,Ewallet,585.66,9.9
1/24/2019,232-11-3025,Toronto,Normal,Male,Fashion accessories,78.77,10,39.385,Cash,787.7,6.4
02-02-2019,382-03-4532,Toronto,Member,Female,Health and beauty,18.33,1,0.9165,Cash,18.33,4.3
01-06-2019,393-65-2792,Vancouver,Normal,Female,Food and beverages,89.48,10,44.74,Credit card,894.8,9.6
02-11-2019,796-12-2025,Vancouver,Normal,Female,Electronic accessories,62.12,10,31.06,Cash,621.2,5.9
03-05-2019,510-95-6347,Montreal,Member,Female,Food and beverages,48.52,3,7.278,Ewallet,145.56,4
03-09-2019,841-35-6630,Vancouver,Normal,Female,Electronic accessories,75.91,6,22.773,Cash,455.46,8.7
1/22/2019,287-21-9091,Toronto,Normal,Male,Home and lifestyle,74.67,9,33.6015,Ewallet,672.03,9.4
1/13/2019,732-94-0499,Vancouver,Normal,Female,Electronic accessories,41.65,10,20.825,Credit card,416.5,5.4
01-09-2019,263-10-3913,Vancouver,Member,Male,Fashion accessories,49.04,9,22.068,Credit card,441.36,8.6
01-12-2019,381-20-0914,Toronto,Member,Female,Fashion accessories,20.01,9,9.0045,Credit card,180.09,5.7
03-05-2019,829-49-1914,Vancouver,Member,Female,Food and beverages,78.31,10,39.155,Ewallet,783.1,6.6
1/22/2019,756-01-7507,Vancouver,Normal,Female,Health and beauty,20.38,5,5.095,Cash,101.9,6
1/21/2019,870-72-4431,Vancouver,Normal,Female,Health and beauty,99.19,6,29.757,Credit card,595.14,5.5
1/26/2019,847-38-7188,Montreal,Normal,Female,Food and beverages,96.68,3,14.502,Ewallet,290.04,6.4
1/23/2019,480-63-2856,Vancouver,Normal,Male,Food and beverages,19.25,8,7.7,Ewallet,154,6.6
2/23/2019,787-56-0757,Vancouver,Member,Female,Food and beverages,80.36,4,16.072,Credit card,321.44,8.3
03-09-2019,360-39-5055,Vancouver,Member,Male,Home and lifestyle,48.91,5,12.2275,Cash,244.55,6.6
03-05-2019,730-50-9884,Vancouver,Normal,Female,Home and lifestyle,83.06,7,29.071,Ewallet,581.42,4
3/25/2019,362-58-8315,Vancouver,Normal,Female,Food and beverages,76.52,5,19.13,Cash,382.6,9.9
3/27/2019,633-44-8566,Toronto,Member,Female,Food and beverages,49.38,7,17.283,Credit card,345.66,7.3
01-02-2019,504-35-8843,Toronto,Normal,Male,Home and lifestyle,42.47,1,2.1235,Cash,42.47,5.7
2/27/2019,318-68-5053,Montreal,Normal,Female,Food and beverages,76.99,6,23.097,Cash,461.94,6.1
1/23/2019,565-80-5980,Vancouver,Member,Female,Home and lifestyle,47.38,4,9.476,Cash,189.52,7.1
1/26/2019,225-32-0908,Vancouver,Normal,Female,Food and beverages,44.86,10,22.43,Ewallet,448.6,8.2
01-10-2019,873-51-0671,Toronto,Member,Female,Home and lifestyle,21.98,7,7.693,Ewallet,153.86,5.1
03-12-2019,152-08-9985,Montreal,Member,Male,Food and beverages,64.36,9,28.962,Credit card,579.24,8.6
02-06-2019,512-91-0811,Vancouver,Normal,Male,Food and beverages,89.75,1,4.4875,Credit card,89.75,6.6
03-08-2019,594-34-4444,Toronto,Normal,Female,Electronic accessories,97.16,1,4.858,Ewallet,97.16,7.2
3/29/2019,766-85-7061,Montreal,Normal,Female,Food and beverages,87.87,10,43.935,Ewallet,878.7,5.1
02-09-2019,871-39-9221,Vancouver,Normal,Female,Electronic accessories,12.45,6,3.735,Cash,74.7,4.1
3/23/2019,865-92-6136,Toronto,Normal,Female,Food and beverages,52.75,3,7.9125,Ewallet,158.25,9.3
03-05-2019,733-01-9107,Montreal,Normal,Male,Home and lifestyle,82.7,6,24.81,Cash,496.2,7.4
3/26/2019,163-56-7055,Vancouver,Member,Male,Food and beverages,48.71,1,2.4355,Cash,48.71,4.1
03-01-2019,189-98-2939,Vancouver,Normal,Male,Food and beverages,78.55,9,35.3475,Cash,706.95,7.2
02-01-2019,551-21-3069,Vancouver,Normal,Female,Electronic accessories,23.07,9,10.3815,Cash,207.63,4.9
3/28/2019,212-62-1842,Toronto,Normal,Male,Food and beverages,58.26,6,17.478,Cash,349.56,9.9
3/19/2019,716-39-1409,Montreal,Normal,Female,Food and beverages,30.35,7,10.6225,Cash,212.45,8
01-12-2019,704-48-3927,Toronto,Member,Female,Electronic accessories,88.67,10,44.335,Ewallet,886.7,7.3
01-05-2019,628-34-3388,Vancouver,Normal,Female,Food and beverages,27.38,6,8.214,Credit card,164.28,7.9
3/22/2019,630-74-5166,Toronto,Normal,Male,Sports and travel,62.13,6,18.639,Cash,372.78,7.4
3/24/2019,588-01-7461,Vancouver,Normal,Female,Food and beverages,33.98,9,15.291,Cash,305.82,4.2
03-03-2019,861-77-0145,Vancouver,Member,Male,Electronic accessories,81.97,10,40.985,Cash,819.7,9.2
02-05-2019,479-26-8945,Montreal,Member,Female,Sports and travel,16.49,2,1.649,Ewallet,32.98,4.6
02-05-2019,210-67-5886,Vancouver,Member,Female,Food and beverages,98.21,3,14.7315,Credit card,294.63,7.8
2/15/2019,227-78-1148,Montreal,Normal,Female,Food and beverages,72.84,7,25.494,Cash,509.88,8.4
1/19/2019,645-44-1170,Toronto,Member,Male,Home and lifestyle,58.07,9,26.1315,Ewallet,522.63,4.3
02-01-2019,237-01-6122,Vancouver,Member,Female,Home and lifestyle,80.79,9,36.3555,Credit card,727.11,9.5
03-02-2019,225-98-1496,Vancouver,Normal,Female,Food and beverages,27.02,3,4.053,Credit card,81.06,7.1
03-05-2019,291-32-1427,Montreal,Member,Male,Food and beverages,21.94,5,5.485,Ewallet,109.7,5.3
1/16/2019,659-65-8956,Montreal,Member,Female,Food and beverages,51.36,1,2.568,Ewallet,51.36,5.2
02-02-2019,642-32-2990,Toronto,Normal,Female,Food and beverages,10.96,10,5.48,Ewallet,109.6,6
1/20/2019,378-24-2715,Montreal,Normal,Female,Home and lifestyle,53.44,2,5.344,Ewallet,106.88,4.1
2/14/2019,638-60-7125,Toronto,Normal,Female,Electronic accessories,99.56,8,39.824,Credit card,796.48,5.2
01-12-2019,659-36-1684,Vancouver,Member,Female,Sports and travel,57.12,7,19.992,Credit card,399.84,6.5
03-09-2019,219-22-9386,Montreal,Member,Male,Food and beverages,99.96,10,49.98,Credit card,999.6,4.2
3/13/2019,336-78-2147,Vancouver,Member,Male,Home and lifestyle,63.91,8,25.564,Credit card,511.28,4.6
03-09-2019,268-27-6179,Montreal,Member,Female,Food and beverages,56.47,8,22.588,Ewallet,451.76,7.3
03-10-2019,668-90-8900,Toronto,Normal,Female,Home and lifestyle,93.69,7,32.7915,Credit card,655.83,4.5
1/27/2019,870-54-3162,Toronto,Normal,Female,Sports and travel,32.25,5,8.0625,Cash,161.25,9
01-08-2019,189-08-9157,Vancouver,Normal,Female,Food and beverages,31.73,9,14.2785,Credit card,285.57,5.9
01-08-2019,663-86-9076,Vancouver,Member,Female,Food and beverages,68.54,8,27.416,Ewallet,548.32,8.5
02-08-2019,549-84-7482,Montreal,Normal,Female,Sports and travel,90.28,9,40.626,Ewallet,812.52,7.2
1/25/2019,191-10-6171,Montreal,Normal,Female,Food and beverages,39.62,7,13.867,Cash,277.34,7.5
03-06-2019,802-70-5316,Toronto,Member,Female,Sports and travel,92.13,6,27.639,Cash,552.78,8.3
02-10-2019,695-51-0018,Montreal,Normal,Female,Sports and travel,34.84,4,6.968,Cash,139.36,7.4
2/17/2019,590-83-4591,Montreal,Member,Male,Electronic accessories,87.45,6,26.235,Credit card,524.7,8.8
03-08-2019,483-71-1164,Vancouver,Normal,Female,Food and beverages,81.3,6,24.39,Ewallet,487.8,5.3
2/18/2019,597-78-7908,Vancouver,Normal,Male,Food and beverages,90.22,3,13.533,Cash,270.66,6.2
1/18/2019,700-81-1757,Toronto,Normal,Female,Electronic accessories,26.31,5,6.5775,Credit card,131.55,8.8
2/18/2019,354-39-5160,Toronto,Member,Female,Home and lifestyle,34.42,6,10.326,Cash,206.52,9.8
2/16/2019,241-72-9525,Montreal,Normal,Male,Food and beverages,51.91,10,25.955,Cash,519.1,8.2
3/16/2019,575-30-8091,Toronto,Normal,Male,Sports and travel,72.5,8,29,Ewallet,580,9.2
1/23/2019,731-81-9469,Vancouver,Member,Female,Food and beverages,89.8,10,44.9,Credit card,898,5.4
1/25/2019,280-17-4359,Vancouver,Member,Female,Food and beverages,90.5,10,45.25,Cash,905,8.1
02-05-2019,338-65-2210,Vancouver,Member,Female,Food and beverages,68.6,10,34.3,Cash,686,9.1
2/22/2019,488-25-4221,Vancouver,Member,Female,Food and beverages,30.41,1,1.5205,Credit card,30.41,8.4
1/21/2019,239-10-7476,Toronto,Normal,Female,Home and lifestyle,77.95,6,23.385,Ewallet,467.7,8
03-08-2019,458-41-1477,Vancouver,Normal,Female,Food and beverages,46.26,6,13.878,Credit card,277.56,9.5
02-10-2019,685-64-1609,Toronto,Member,Female,Electronic accessories,30.14,10,15.07,Ewallet,301.4,9.2
3/19/2019,568-90-5112,Vancouver,Normal,Female,Food and beverages,66.14,4,13.228,Credit card,264.56,5.6
03-06-2019,262-47-2794,Montreal,Member,Female,Home and lifestyle,71.86,8,28.744,Credit card,574.88,6.2
3/27/2019,238-49-0436,Toronto,Normal,Male,Food and beverages,32.46,8,12.984,Credit card,259.68,4.9
3/23/2019,608-96-3517,Montreal,Member,Female,Food and beverages,91.54,4,18.308,Credit card,366.16,4.8
03-11-2019,584-86-7256,Vancouver,Member,Male,Food and beverages,34.56,7,12.096,Credit card,241.92,7.3
1/29/2019,746-94-0204,Toronto,Normal,Male,Food and beverages,83.24,9,37.458,Credit card,749.16,7.4
02-07-2019,214-17-6927,Vancouver,Normal,Female,Food and beverages,16.48,6,4.944,Ewallet,98.88,9.9
1/28/2019,400-89-4171,Vancouver,Normal,Female,Food and beverages,80.97,8,32.388,Cash,647.76,9.3
2/20/2019,782-95-9291,Toronto,Member,Male,Food and beverages,92.29,5,23.0725,Credit card,461.45,9
01-04-2019,279-74-2924,Montreal,Member,Male,Electronic accessories,72.17,1,3.6085,Cash,72.17,6.1
03-07-2019,307-85-2293,Montreal,Normal,Male,Home and lifestyle,50.28,5,12.57,Ewallet,251.4,9.7
3/30/2019,743-04-1105,Montreal,Member,Male,Food and beverages,97.22,9,43.749,Ewallet,874.98,6
3/27/2019,423-57-2993,Montreal,Normal,Female,Sports and travel,93.39,6,28.017,Ewallet,560.34,10
1/19/2019,894-41-5205,Vancouver,Normal,Female,Food and beverages,43.18,8,17.272,Credit card,345.44,8.3
2/25/2019,275-28-0149,Toronto,Normal,Female,Sports and travel,63.69,1,3.1845,Cash,63.69,6
3/13/2019,101-17-6199,Toronto,Normal,Female,Food and beverages,45.79,7,16.0265,Credit card,320.53,7
1/30/2019,423-80-0988,Vancouver,Normal,Male,Sports and travel,76.4,2,7.64,Ewallet,152.8,6.5
2/20/2019,548-46-9322,Montreal,Normal,Male,Food and beverages,39.9,10,19.95,Credit card,399,5.9
2/25/2019,505-02-0892,Montreal,Member,Male,Food and beverages,42.57,8,17.028,Ewallet,340.56,5.6
1/16/2019,234-65-2137,Vancouver,Normal,Male,Home and lifestyle,95.58,10,47.79,Cash,955.8,4.8
02-08-2019,687-47-8271,Toronto,Normal,Male,Electronic accessories,98.98,10,49.49,Credit card,989.8,8.7
1/19/2019,796-32-9050,Toronto,Normal,Female,Food and beverages,51.28,6,15.384,Cash,307.68,6.5
02-01-2019,105-31-1824,Toronto,Member,Female,Health and beauty,69.52,7,24.332,Credit card,486.64,8.5
01-03-2019,249-42-3782,Toronto,Normal,Female,Health and beauty,70.01,5,17.5025,Ewallet,350.05,5.5
1/26/2019,316-55-4634,Montreal,Member,Female,Food and beverages,80.05,5,20.0125,Credit card,400.25,9.4
03-03-2019,733-33-4967,Vancouver,Normal,Male,Electronic accessories,20.85,8,8.34,Cash,166.8,6.3
1/19/2019,608-27-6295,Montreal,Member,Male,Electronic accessories,52.89,6,15.867,Credit card,317.34,9.8
1/18/2019,414-12-7047,Montreal,Normal,Male,Food and beverages,19.79,8,7.916,Ewallet,158.32,8.7
3/21/2019,827-26-2100,Toronto,Member,Male,Home and lifestyle,33.84,9,15.228,Ewallet,304.56,8.8
03-03-2019,175-54-2529,Toronto,Member,Male,Food and beverages,22.17,8,8.868,Credit card,177.36,9.6
2/13/2019,139-52-2867,Vancouver,Normal,Female,Food and beverages,22.51,7,7.8785,Credit card,157.57,4.8
3/23/2019,407-63-8975,Toronto,Normal,Female,Food and beverages,73.88,6,22.164,Ewallet,443.28,4.4
1/28/2019,342-65-4817,Vancouver,Member,Female,Health and beauty,86.8,3,13.02,Ewallet,260.4,9.9
02-09-2019,130-98-8941,Vancouver,Normal,Female,Food and beverages,64.26,7,22.491,Cash,449.82,5.7
1/23/2019,434-83-9547,Vancouver,Member,Female,Food and beverages,38.47,8,15.388,Cash,307.76,7.7
3/23/2019,851-28-6367,Toronto,Member,Female,Health and beauty,15.5,10,7.75,Ewallet,155,8
1/25/2019,824-88-3614,Vancouver,Normal,Male,Health and beauty,34.31,8,13.724,Ewallet,274.48,5.7
03-04-2019,586-25-0848,Toronto,Normal,Female,Health and beauty,12.34,7,4.319,Credit card,86.38,6.7
03-05-2019,895-66-0685,Montreal,Member,Male,Food and beverages,18.08,3,2.712,Ewallet,54.24,8
03-03-2019,305-14-0245,Montreal,Member,Female,Home and lifestyle,94.49,8,37.796,Ewallet,755.92,7.5
02-08-2019,732-04-5373,Montreal,Member,Male,Home and lifestyle,46.47,4,9.294,Cash,185.88,7
02-10-2019,400-60-7251,Toronto,Normal,Male,Home and lifestyle,74.07,1,3.7035,Ewallet,74.07,9.9
1/28/2019,593-65-1552,Vancouver,Normal,Female,Home and lifestyle,69.81,4,13.962,Credit card,279.24,5.9
02-11-2019,284-34-9626,Montreal,Normal,Female,Home and lifestyle,77.04,3,11.556,Credit card,231.12,7.2
1/15/2019,437-58-8131,Montreal,Normal,Female,Food and beverages,73.52,2,7.352,Ewallet,147.04,4.6
3/16/2019,286-43-6208,Vancouver,Normal,Female,Food and beverages,87.8,9,39.51,Cash,790.2,9.2
1/26/2019,641-43-2399,Montreal,Normal,Male,Home and lifestyle,25.55,4,5.11,Ewallet,102.2,5.7
3/19/2019,831-07-6050,Toronto,Normal,Male,Electronic accessories,32.71,5,8.1775,Credit card,163.55,9.9
1/13/2019,556-86-3144,Vancouver,Member,Female,Food and beverages,74.29,1,3.7145,Cash,74.29,5
3/26/2019,848-24-9445,Vancouver,Member,Male,Health and beauty,43.7,2,4.37,Cash,87.4,4.9
3/23/2019,856-22-8149,Toronto,Normal,Female,Home and lifestyle,25.29,1,1.2645,Ewallet,25.29,6.1
03-12-2019,699-01-4164,Vancouver,Normal,Female,Health and beauty,41.5,4,8.3,Credit card,166,8.2
2/17/2019,420-11-4919,Vancouver,Member,Female,Food and beverages,71.39,5,17.8475,Credit card,356.95,5.5
1/29/2019,606-80-4905,Vancouver,Member,Female,Sports and travel,19.15,6,5.745,Credit card,114.9,6.8
3/15/2019,542-41-0513,Montreal,Member,Female,Electronic accessories,57.49,4,11.498,Cash,229.96,6.6
1/14/2019,426-39-2418,Vancouver,Normal,Female,Electronic accessories,61.41,7,21.4935,Cash,429.87,9.8
02-06-2019,875-46-5808,Montreal,Member,Female,Health and beauty,25.9,10,12.95,Ewallet,259,8.7
2/15/2019,394-43-4238,Montreal,Member,Male,Home and lifestyle,17.77,5,4.4425,Credit card,88.85,5.4
01-03-2019,749-24-1565,Toronto,Normal,Female,Health and beauty,23.03,9,10.3635,Ewallet,207.27,7.9
01-04-2019,672-51-8681,Vancouver,Member,Female,Electronic accessories,66.65,9,29.9925,Credit card,599.85,9.7
3/18/2019,263-87-5680,Vancouver,Member,Female,Home and lifestyle,28.53,10,14.265,Ewallet,285.3,7.8
3/28/2019,573-58-9734,Montreal,Normal,Female,Food and beverages,30.37,3,4.5555,Ewallet,91.11,5.1
03-02-2019,817-69-8206,Montreal,Normal,Female,Electronic accessories,99.73,9,44.8785,Credit card,897.57,6.5
1/25/2019,888-02-0338,Toronto,Normal,Male,Electronic accessories,26.23,9,11.8035,Ewallet,236.07,5.9
1/16/2019,677-11-0152,Vancouver,Normal,Female,Food and beverages,93.26,9,41.967,Cash,839.34,8.8
3/20/2019,142-63-6033,Montreal,Normal,Male,Home and lifestyle,92.36,5,23.09,Ewallet,461.8,4.9
01-04-2019,656-16-1063,Montreal,Normal,Male,Sports and travel,46.42,3,6.963,Credit card,139.26,4.4
03-11-2019,891-58-8335,Montreal,Member,Female,Health and beauty,29.61,7,10.3635,Cash,207.27,6.5
3/22/2019,802-43-8934,Toronto,Normal,Male,Home and lifestyle,18.28,1,0.914,Credit card,18.28,8.3
3/24/2019,560-30-5617,Montreal,Normal,Female,Sports and travel,24.77,5,6.1925,Cash,123.85,8.5
2/21/2019,319-74-2561,Toronto,Member,Female,Electronic accessories,94.64,3,14.196,Cash,283.92,5.5
02-12-2019,549-03-9315,Montreal,Normal,Male,Food and beverages,94.87,8,37.948,Ewallet,758.96,8.7
03-10-2019,790-29-1172,Montreal,Normal,Female,Food and beverages,57.34,3,8.601,Credit card,172.02,7.9
1/31/2019,239-36-3640,Montreal,Normal,Female,Electronic accessories,45.35,6,13.605,Ewallet,272.1,6.1
03-06-2019,468-01-2051,Montreal,Normal,Female,Food and beverages,62.08,7,21.728,Ewallet,434.56,5.4
2/17/2019,389-25-3394,Vancouver,Normal,Female,Electronic accessories,11.81,5,2.9525,Cash,59.05,9.4
2/21/2019,279-62-1445,Vancouver,Member,Female,Food and beverages,12.54,1,0.627,Cash,12.54,8.2
3/20/2019,213-72-6612,Toronto,Normal,Male,Food and beverages,43.25,2,4.325,Cash,86.5,6.2
01-11-2019,746-68-6593,Vancouver,Member,Female,Sports and travel,87.16,2,8.716,Credit card,174.32,9.7
1/26/2019,836-82-5858,Montreal,Member,Male,Health and beauty,69.37,9,31.2165,Ewallet,624.33,4
1/31/2019,583-72-1480,Vancouver,Member,Male,Electronic accessories,37.06,4,7.412,Ewallet,148.24,9.7
2/26/2019,466-61-5506,Montreal,Member,Female,Electronic accessories,90.7,6,27.21,Cash,544.2,5.3
03-11-2019,721-86-6247,Toronto,Normal,Female,Home and lifestyle,63.42,8,25.368,Ewallet,507.36,7.4
1/26/2019,289-65-5721,Montreal,Normal,Female,Food and beverages,81.37,2,8.137,Cash,162.74,6.5
03-12-2019,545-46-3100,Montreal,Member,Female,Electronic accessories,10.59,3,1.5885,Credit card,31.77,8.7
02-11-2019,418-02-5978,Montreal,Normal,Female,Health and beauty,84.09,9,37.8405,Cash,756.81,8
2/21/2019,269-04-5750,Montreal,Member,Male,Food and beverages,73.82,4,14.764,Cash,295.28,6.7
03-09-2019,157-13-5295,Toronto,Member,Male,Health and beauty,51.94,10,25.97,Ewallet,519.4,6.5
1/20/2019,645-78-8093,Toronto,Normal,Female,Sports and travel,93.14,2,9.314,Ewallet,186.28,4.1
1/28/2019,211-30-9270,Vancouver,Normal,Male,Health and beauty,17.41,5,4.3525,Credit card,87.05,4.9
03-05-2019,755-12-3214,Vancouver,Member,Female,Food and beverages,44.22,5,11.055,Credit card,221.1,8.6
03-02-2019,346-84-3103,Montreal,Member,Female,Electronic accessories,13.22,5,3.305,Cash,66.1,4.3
01-11-2019,478-06-7835,Toronto,Normal,Male,Food and beverages,89.69,1,4.4845,Ewallet,89.69,4.9
01-11-2019,540-11-4336,Toronto,Normal,Male,Food and beverages,24.94,9,11.223,Credit card,224.46,5.6
03-11-2019,448-81-5016,Toronto,Normal,Male,Health and beauty,59.77,2,5.977,Credit card,119.54,5.8
2/28/2019,142-72-4741,Vancouver,Member,Male,Food and beverages,93.2,2,9.32,Credit card,186.4,6
01-05-2019,217-58-1179,Toronto,Member,Female,Home and lifestyle,62.65,4,12.53,Cash,250.6,4.2
02-02-2019,376-02-8238,Montreal,Normal,Female,Home and lifestyle,93.87,8,37.548,Credit card,750.96,8.3
01-01-2019,530-90-9855,Toronto,Member,Male,Home and lifestyle,47.59,8,19.036,Cash,380.72,5.7
